run	seed	n	pf	pnl	top2_share_pct	short	entries
0	777:0	18	0.274821	-256207.1583	-27.2572	0	ALRS:2026-02-15;ALRS:2026-02-23;GAZP:2026-01-29;LKOH:2026-04-08;MGNT:2025-02-05;MOEX:2025-11-19;MOEX:2026-03-19;MOEX:2026-01-15;NVTK:2025-06-26;ROSN:2025-03-10;ROSN:2026-05-22;SBER:2025-03-05;SBER:2026-06-23;SBER:2026-06-08;TATN:2026-04-15;TATN:2026-05-17;TATN:2025-03-11;TATN:2026-06-08
1	777:1	18	0.800385	-79985.0905	-209.2519	0	ALRS:2025-09-13;ALRS:2025-03-12;GAZP:2025-01-23;LKOH:2025-02-04;MGNT:2026-01-19;MOEX:2025-05-21;MOEX:2026-06-08;MOEX:2026-05-20;NVTK:2025-09-24;ROSN:2026-03-28;ROSN:2025-02-16;SBER:2025-08-18;SBER:2025-01-21;SBER:2025-12-01;TATN:2026-06-02;TATN:2025-01-08;TATN:2025-01-09;TATN:2026-04-29
2	777:2	18	0.221091	-319272.6689	-23.5771	0	ALRS:2026-02-05;ALRS:2025-03-25;GAZP:2026-05-18;LKOH:2025-09-06;MGNT:2025-05-11;MOEX:2025-05-03;MOEX:2026-01-26;MOEX:2025-03-06;NVTK:2026-04-23;ROSN:2025-01-21;ROSN:2025-09-01;SBER:2026-01-28;SBER:2025-08-11;SBER:2025-02-23;TATN:2026-03-12;TATN:2025-01-02;TATN:2025-06-22;TATN:2025-03-15
3	777:3	18	0.876653	-35278.4698	-456.4174	0	ALRS:2025-08-21;ALRS:2025-03-23;GAZP:2026-04-24;LKOH:2026-03-03;MGNT:2026-04-01;MOEX:2025-02-19;MOEX:2026-02-05;MOEX:2025-06-30;NVTK:2025-11-20;ROSN:2025-01-20;ROSN:2026-05-12;SBER:2025-02-11;SBER:2025-06-09;SBER:2025-06-08;TATN:2025-06-14;TATN:2026-06-08;TATN:2026-02-10;TATN:2026-03-25
4	777:4	18	1.868191	210994.4046	100.6535	0	ALRS:2025-05-16;ALRS:2025-03-01;GAZP:2026-03-15;LKOH:2026-03-01;MGNT:2026-01-24;MOEX:2026-01-23;MOEX:2026-03-31;MOEX:2026-03-27;NVTK:2025-03-29;ROSN:2026-03-28;ROSN:2025-02-04;SBER:2026-01-29;SBER:2025-01-20;SBER:2026-05-11;TATN:2026-02-15;TATN:2026-03-02;TATN:2025-06-07;TATN:2026-04-29
5	777:5	18	0.760258	-96319.0749	-171.2373	0	ALRS:2026-02-19;ALRS:2025-09-08;GAZP:2026-04-08;LKOH:2025-03-04;MGNT:2025-03-19;MOEX:2026-01-11;MOEX:2026-01-20;MOEX:2026-04-17;NVTK:2026-02-26;ROSN:2025-08-18;ROSN:2025-08-26;SBER:2026-05-04;SBER:2025-11-19;SBER:2026-07-05;TATN:2025-09-28;TATN:2025-08-04;TATN:2025-08-05;TATN:2025-04-04
