tf,ticker,entry,exit,pnl,status,rules,regime,sample
H4,SBER,2023-09-18 05:00:00,2023-09-18 09:00:00,-7064.62,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,SBER,2023-10-11 09:00:00,2023-10-17 13:00:00,29146.2,WIN,osc_bull_div_mac_break,volatile,IS
H4,SBER,2023-12-15 13:00:00,2023-12-18 09:00:00,990.65,WIN,osc_bull_div_mac_break,trending,IS
H4,SBER,2023-12-18 09:00:00,2023-12-18 13:00:00,1409.15,WIN,osc_bull_div_mac_break,trending,IS
H4,SBER,2023-12-18 13:00:00,2023-12-18 17:00:00,-459.3,LOSS,osc_bull_div_mac_break,trending,IS
H4,SBER,2023-12-18 17:00:00,2023-12-19 09:00:00,-12225.29,LOSS,osc_bull_div_mac_break,trending,IS
H4,SBER,2023-12-19 13:00:00,2023-12-19 17:00:00,-302.93,LOSS,osc_bull_div_mac_break,trending,IS
H4,SBER,2023-12-19 17:00:00,2023-12-20 13:00:00,-2982.22,LOSS,osc_bull_div_mac_break,volatile,IS
H4,SBER,2023-12-27 05:00:00,2023-12-27 09:00:00,-2627.06,LOSS,osc_bull_div_mac_break,volatile,IS
H4,SBER,2023-12-27 09:00:00,2024-01-04 05:00:00,10765.74,WIN,osc_bull_div_mac_break,volatile,IS
H4,SBER,2024-10-30 05:00:00,2024-10-31 13:00:00,-29219.33,STOPPED,osc_micro_w_entry,trending,IS
H4,SBER,2024-12-18 13:00:00,2024-12-23 09:00:00,145481.4,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,ranging,IS
H4,SBER,2025-03-04 05:00:00,2025-03-04 17:00:00,6625.68,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-03-04 17:00:00,2025-03-05 01:00:00,-6009.59,LOSS,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-03-05 01:00:00,2025-03-05 05:00:00,5576.44,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-03-05 05:00:00,2025-03-05 09:00:00,-340.27,LOSS,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-03-05 09:00:00,2025-03-05 17:00:00,-10760.57,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-03-05 17:00:00,2025-03-06 01:00:00,6284.25,WIN,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-03-06 01:00:00,2025-03-06 05:00:00,-1340.1,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-03-06 05:00:00,2025-03-06 09:00:00,-1589.3,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-04-09 17:00:00,2025-04-10 13:00:00,-12065.99,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,SBER,2025-05-17 13:00:00,2025-05-19 01:00:00,3374.22,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-05-19 01:00:00,2025-05-19 05:00:00,-3212.96,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-05-19 05:00:00,2025-05-19 09:00:00,4377.08,WIN,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-05-19 09:00:00,2025-05-19 13:00:00,-4324.05,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-08-01 01:00:00,2025-08-05 05:00:00,-1707.79,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SBER,2025-08-26 01:00:00,2025-08-26 09:00:00,946.25,WIN,osc_micro_w_entry,trending,OOS
H4,SBER,2025-09-17 13:00:00,2025-09-18 05:00:00,-3909.86,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SBER,2025-10-09 17:00:00,2025-10-15 05:00:00,-26612.3,STOPPED,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-10-29 01:00:00,2025-10-30 01:00:00,-1438.09,LOSS,osc_micro_w_entry,trending,OOS
H4,SBER,2025-10-30 05:00:00,2025-10-30 17:00:00,2703.03,WIN,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-10-30 17:00:00,2025-10-31 01:00:00,5688.64,WIN,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-10-31 01:00:00,2025-10-31 05:00:00,-14128.26,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-10-31 05:00:00,2025-10-31 09:00:00,-1959.07,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-10-31 09:00:00,2025-11-05 01:00:00,8917.39,WIN,osc_bull_div_mac_break,volatile,OOS
H4,SBER,2025-11-18 17:00:00,2025-11-19 01:00:00,6577.38,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-11-19 01:00:00,2025-11-19 17:00:00,11851.78,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-11-19 17:00:00,2025-11-20 01:00:00,5810.46,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-11-20 01:00:00,2025-11-20 05:00:00,-7254.66,LOSS,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-11-20 05:00:00,2025-11-20 09:00:00,-2766.13,LOSS,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-11-20 09:00:00,2025-11-21 09:00:00,6482.67,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2025-12-01 17:00:00,2025-12-02 01:00:00,-1476.74,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,SBER,2026-01-19 17:00:00,2026-01-20 01:00:00,2012.51,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-01-20 01:00:00,2026-01-20 05:00:00,-4933.86,LOSS,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-01-20 05:00:00,2026-01-20 09:00:00,1147.37,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-01-20 09:00:00,2026-01-20 13:00:00,1325.99,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-01-20 13:00:00,2026-01-21 13:00:00,5527.3,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-03-05 09:00:00,2026-03-06 05:00:00,2493.7,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,SBER,2026-03-06 05:00:00,2026-03-06 09:00:00,-2558.86,LOSS,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-03-06 09:00:00,2026-03-09 13:00:00,4055.93,WIN,osc_bull_div_mac_break,trending,OOS
H4,SBER,2026-05-03 05:00:00,2026-05-03 13:00:00,115.56,WIN,osc_micro_w_entry,trending,OOS
H4,SBER,2026-05-04 05:00:00,2026-05-05 05:00:00,-12889.66,STOPPED,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2023-09-28 13:00:00,2023-09-29 09:00:00,536.7,WIN,osc_micro_w_entry,trending,IS
H4,GAZP,2023-10-02 05:00:00,2023-10-03 05:00:00,-18861.65,STOPPED,osc_bull_div_mac_break,volatile,IS
H4,GAZP,2023-10-16 09:00:00,2023-10-17 09:00:00,-2229.65,LOSS,osc_bull_div_mac_break,trending,IS
H4,GAZP,2023-10-17 09:00:00,2023-10-17 13:00:00,1413.25,WIN,osc_bull_div_mac_break,trending,IS
H4,GAZP,2023-10-17 13:00:00,2023-10-17 17:00:00,-1772.33,LOSS,osc_bull_div_mac_break,trending,IS
H4,GAZP,2023-10-17 17:00:00,2023-10-18 05:00:00,104.52,WIN,osc_bull_div_mac_break,trending,IS
H4,GAZP,2023-10-18 05:00:00,2023-10-18 09:00:00,-4723.06,LOSS,osc_bull_div_mac_break,trending,IS
H4,GAZP,2023-10-31 13:00:00,2023-11-02 05:00:00,10742.87,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,GAZP,2023-12-07 17:00:00,2023-12-12 05:00:00,-2279.17,LOSS,osc_bull_div_mac_break,trending,IS
H4,GAZP,2024-01-31 09:00:00,2024-02-01 09:00:00,1897.91,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,IS
H4,GAZP,2024-02-01 09:00:00,2024-02-01 13:00:00,-1360.38,LOSS,osc_bull_div_mac_break,trending,IS
H4,GAZP,2024-02-01 13:00:00,2024-02-02 17:00:00,-7335.54,STOPPED,osc_bull_div_mac_break,trending,IS
H4,GAZP,2024-04-27 13:00:00,2024-05-02 09:00:00,-16823.58,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,GAZP,2024-08-13 09:00:00,2024-08-14 13:00:00,-3586.84,LOSS,osc_bull_div_mac_break,ranging,IS
H4,GAZP,2024-09-17 13:00:00,2024-09-18 09:00:00,-6627.08,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,GAZP,2025-01-29 01:00:00,2025-01-29 09:00:00,-9916.45,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,GAZP,2025-03-04 05:00:00,2025-03-05 01:00:00,-3217.03,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,GAZP,2025-03-05 05:00:00,2025-03-05 09:00:00,-4164.62,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,GAZP,2025-03-05 09:00:00,2025-03-12 13:00:00,-30438.97,STOPPED,osc_bull_div_mac_break,ranging,OOS
H4,GAZP,2025-04-01 01:00:00,2025-04-01 09:00:00,-38783.9,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,GAZP,2025-04-10 09:00:00,2025-04-10 13:00:00,-14994.03,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,GAZP,2025-04-11 05:00:00,2025-04-13 05:00:00,29523.74,WIN,osc_bull_div_mac_break,volatile,OOS
H4,GAZP,2025-04-13 05:00:00,2025-04-13 09:00:00,2630.02,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-04-13 09:00:00,2025-04-14 01:00:00,-5141.98,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-04-14 01:00:00,2025-04-14 05:00:00,-2955.51,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,GAZP,2025-04-14 05:00:00,2025-04-14 09:00:00,-11418.12,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,GAZP,2025-04-14 09:00:00,2025-04-17 17:00:00,23842.27,WIN,osc_bull_div_mac_break,volatile,OOS
H4,GAZP,2025-06-13 01:00:00,2025-06-15 05:00:00,3764.05,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,GAZP,2025-06-15 09:00:00,2025-06-18 05:00:00,5004.69,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-18 17:00:00,2025-07-19 09:00:00,9364.1,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-19 09:00:00,2025-07-19 13:00:00,289.76,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-19 13:00:00,2025-07-20 05:00:00,2310.7,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-20 05:00:00,2025-07-20 13:00:00,-2706.46,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-20 13:00:00,2025-07-21 01:00:00,497.84,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-21 01:00:00,2025-07-21 05:00:00,-5903.03,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-21 05:00:00,2025-07-21 09:00:00,2376.02,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-21 09:00:00,2025-07-21 13:00:00,-336.22,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-07-21 13:00:00,2025-07-21 17:00:00,2789.21,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-08-04 09:00:00,2025-08-05 05:00:00,5098.83,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-08-05 05:00:00,2025-08-05 09:00:00,4164.17,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-08-05 09:00:00,2025-08-05 13:00:00,373.21,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-08-05 13:00:00,2025-08-06 05:00:00,-2126.84,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-08-18 17:00:00,2025-08-20 09:00:00,-20205.54,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
H4,GAZP,2025-08-26 01:00:00,2025-08-26 09:00:00,1580.17,WIN,osc_micro_w_entry,trending,OOS
H4,GAZP,2025-10-10 05:00:00,2025-10-17 17:00:00,52171.62,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-11-18 05:00:00,2025-11-18 17:00:00,-9782.45,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,GAZP,2025-12-26 09:00:00,2025-12-27 13:00:00,7133.07,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-12-27 13:00:00,2025-12-28 05:00:00,-2383.45,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-12-28 05:00:00,2025-12-28 09:00:00,956.04,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-12-28 09:00:00,2025-12-29 01:00:00,-2670.26,LOSS,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-12-29 01:00:00,2025-12-29 09:00:00,8926.85,WIN,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2025-12-29 09:00:00,2025-12-29 13:00:00,-21715.0,STOPPED,osc_bull_div_mac_break,trending,OOS
H4,GAZP,2026-04-15 13:00:00,2026-04-17 13:00:00,-28288.41,STOPPED,osc_micro_w_entry,ranging,OOS
H4,GAZP,2026-04-20 01:00:00,2026-04-24 09:00:00,-14094.16,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
H4,GAZP,2026-05-28 05:00:00,2026-05-29 01:00:00,-7230.58,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,GAZP,2026-06-02 05:00:00,2026-06-03 05:00:00,5032.91,WIN,osc_bull_div_mac_break,volatile,OOS
H4,GAZP,2026-06-28 05:00:00,2026-06-30 05:00:00,23956.59,WIN,osc_micro_w_entry,trending,OOS
H4,LKOH,2023-09-18 05:00:00,2023-09-19 09:00:00,-35698.56,STOPPED,osc_micro_w_entry,trending,IS
H4,LKOH,2024-01-09 17:00:00,2024-01-10 13:00:00,4227.12,WIN,osc_bull_div_mac_break,ranging,IS
H4,LKOH,2024-01-10 13:00:00,2024-01-10 17:00:00,-1193.61,LOSS,osc_bull_div_mac_break,volatile,IS
H4,LKOH,2024-01-10 17:00:00,2024-01-11 05:00:00,125.86,WIN,osc_bull_div_mac_break,trending,IS
H4,LKOH,2024-01-11 05:00:00,2024-01-11 09:00:00,-1391.81,LOSS,osc_bull_div_mac_break,trending,IS
H4,LKOH,2024-01-11 09:00:00,2024-01-12 17:00:00,1505.65,WIN,osc_bull_div_mac_break,trending,IS
H4,LKOH,2024-03-20 17:00:00,2024-03-21 13:00:00,-2286.77,LOSS,osc_bull_div_mac_break,volatile,IS
H4,LKOH,2024-03-21 13:00:00,2024-03-21 17:00:00,-996.56,LOSS,osc_bull_div_mac_break,ranging,IS
H4,LKOH,2024-03-22 05:00:00,2024-03-22 09:00:00,-25933.27,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,LKOH,2024-03-25 09:00:00,2024-03-28 09:00:00,6396.39,WIN,osc_micro_w_entry+osc_stoch_bull_cross,volatile,IS
H4,LKOH,2024-06-25 13:00:00,2024-06-26 09:00:00,9474.04,WIN,osc_bull_div_mac_break,trending,IS
H4,LKOH,2024-09-16 05:00:00,2024-09-16 13:00:00,16395.83,WIN,osc_bull_div_mac_break,ranging,IS
H4,LKOH,2024-09-16 13:00:00,2024-09-17 05:00:00,1840.19,WIN,osc_bull_div_mac_break,ranging,IS
H4,LKOH,2024-09-17 05:00:00,2024-09-17 09:00:00,-5045.38,LOSS,osc_bull_div_mac_break,volatile,IS
H4,LKOH,2024-09-17 09:00:00,2024-09-17 13:00:00,11494.08,WIN,osc_bull_div_mac_break,volatile,IS
H4,LKOH,2024-09-17 13:00:00,2024-09-17 17:00:00,-7318.81,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,LKOH,2024-09-17 17:00:00,2024-09-18 09:00:00,-8452.36,LOSS,osc_bull_div_mac_break,volatile,IS
H4,LKOH,2024-10-03 13:00:00,2024-10-04 13:00:00,9163.08,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,LKOH,2025-04-01 01:00:00,2025-04-01 09:00:00,-19459.91,STOPPED,osc_micro_w_entry,trending,OOS
H4,LKOH,2025-04-09 17:00:00,2025-04-10 09:00:00,-14851.18,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2025-05-18 05:00:00,2025-05-19 05:00:00,-7865.89,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,LKOH,2025-06-13 01:00:00,2025-06-15 05:00:00,17357.76,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2025-06-27 17:00:00,2025-06-28 13:00:00,-582.24,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,LKOH,2025-06-30 09:00:00,2025-07-01 05:00:00,15.48,WIN,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,LKOH,2025-07-14 17:00:00,2025-07-15 09:00:00,-1465.87,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2025-07-15 09:00:00,2025-07-15 13:00:00,-1149.61,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2025-07-15 13:00:00,2025-07-15 17:00:00,-1307.3,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2025-07-15 17:00:00,2025-07-17 09:00:00,8407.09,WIN,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2025-08-04 05:00:00,2025-08-05 01:00:00,13687.39,WIN,osc_micro_w_entry,trending,OOS
H4,LKOH,2025-08-30 05:00:00,2025-09-01 13:00:00,-9236.81,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2025-10-09 17:00:00,2025-10-10 09:00:00,-9038.34,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2025-11-14 17:00:00,2025-11-16 05:00:00,-16745.85,LOSS,osc_micro_w_entry,trending,OOS
H4,LKOH,2026-01-21 09:00:00,2026-01-21 13:00:00,-1719.51,LOSS,osc_micro_w_entry,trending,OOS
H4,LKOH,2026-01-21 17:00:00,2026-01-22 05:00:00,-870.17,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2026-02-10 01:00:00,2026-02-10 09:00:00,-14174.97,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,LKOH,2026-02-22 13:00:00,2026-02-24 01:00:00,-702.46,LOSS,osc_micro_w_entry,ranging,OOS
H4,LKOH,2026-03-18 17:00:00,2026-03-19 09:00:00,-1975.03,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,LKOH,2026-03-19 09:00:00,2026-03-19 13:00:00,-1509.65,LOSS,osc_bull_div_mac_break,ranging,OOS
H4,LKOH,2026-03-19 13:00:00,2026-03-23 09:00:00,-16510.04,STOPPED,osc_bull_div_mac_break,ranging,OOS
H4,LKOH,2026-05-17 09:00:00,2026-05-19 09:00:00,11873.32,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2026-06-03 01:00:00,2026-06-03 05:00:00,-10087.3,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2026-06-10 13:00:00,2026-06-16 05:00:00,-7144.48,LOSS,osc_micro_w_entry,trending,OOS
H4,LKOH,2026-06-26 17:00:00,2026-06-28 13:00:00,4636.63,WIN,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2026-06-28 13:00:00,2026-06-29 01:00:00,-10560.28,LOSS,osc_bull_div_mac_break,trending,OOS
H4,LKOH,2026-06-29 05:00:00,2026-06-30 01:00:00,22371.61,WIN,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2023-11-02 09:00:00,2023-11-02 13:00:00,-20506.22,STOPPED,osc_micro_w_entry,trending,IS
H4,NVTK,2023-11-10 13:00:00,2023-11-14 09:00:00,-20841.31,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,NVTK,2024-04-04 09:00:00,2024-04-05 09:00:00,-26015.27,STOPPED,osc_bull_div_mac_break,trending,IS
H4,NVTK,2024-04-12 09:00:00,2024-04-12 13:00:00,-5331.94,LOSS,osc_micro_w_entry,ranging,IS
H4,NVTK,2024-04-15 09:00:00,2024-04-15 17:00:00,718.91,WIN,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-04-15 17:00:00,2024-04-16 05:00:00,-1132.04,LOSS,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-04-16 05:00:00,2024-04-17 09:00:00,-14635.14,STOPPED,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-06-11 13:00:00,2024-06-13 09:00:00,-13884.93,LOSS,osc_bull_div_mac_break,trending,IS
H4,NVTK,2024-06-14 09:00:00,2024-06-17 05:00:00,900.06,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,NVTK,2024-06-17 05:00:00,2024-06-17 09:00:00,-8115.58,LOSS,osc_bull_div_mac_break,trending,IS
H4,NVTK,2024-07-18 13:00:00,2024-07-19 09:00:00,17699.39,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,NVTK,2024-09-16 05:00:00,2024-09-17 09:00:00,7865.94,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,NVTK,2024-09-17 09:00:00,2024-09-18 05:00:00,280.47,WIN,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-09-18 05:00:00,2024-09-18 09:00:00,-643.42,LOSS,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-09-18 09:00:00,2024-09-18 13:00:00,-642.61,LOSS,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-09-18 13:00:00,2024-09-18 17:00:00,-2672.49,LOSS,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-09-19 05:00:00,2024-09-19 09:00:00,-3551.1,LOSS,osc_bull_div_mac_break,ranging,IS
H4,NVTK,2024-11-02 09:00:00,2024-11-06 13:00:00,34644.57,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,NVTK,2024-11-06 13:00:00,2024-11-06 17:00:00,2029.94,WIN,osc_bull_div_mac_break,trending,IS
H4,NVTK,2024-11-06 17:00:00,2024-11-07 09:00:00,6442.13,WIN,osc_bull_div_mac_break,trending,IS
H4,NVTK,2024-11-07 09:00:00,2024-11-11 05:00:00,48841.25,WIN,osc_bull_div_mac_break,trending,IS
H4,NVTK,2024-12-02 05:00:00,2024-12-02 13:00:00,-1474.26,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,NVTK,2024-12-02 13:00:00,2024-12-02 17:00:00,641.71,WIN,osc_bull_div_mac_break,volatile,IS
H4,NVTK,2024-12-02 17:00:00,2024-12-03 05:00:00,-19311.13,LOSS,osc_bull_div_mac_break,volatile,IS
H4,NVTK,2025-04-03 05:00:00,2025-04-04 09:00:00,-46982.15,STOPPED,osc_bull_div_mac_break,volatile,OOS
H4,NVTK,2025-05-07 09:00:00,2025-05-07 17:00:00,44.63,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,NVTK,2025-05-08 01:00:00,2025-05-08 13:00:00,-6196.14,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-05-08 17:00:00,2025-05-10 05:00:00,3053.64,WIN,osc_bull_div_mac_break,volatile,OOS
H4,NVTK,2025-05-10 05:00:00,2025-05-12 05:00:00,24457.21,WIN,osc_bull_div_mac_break,volatile,OOS
H4,NVTK,2025-06-13 01:00:00,2025-06-13 05:00:00,-4655.5,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2025-06-14 13:00:00,2025-06-15 09:00:00,-3857.56,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-08-04 09:00:00,2025-08-05 05:00:00,12231.6,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,NVTK,2025-08-05 05:00:00,2025-08-05 09:00:00,4792.68,WIN,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-08-05 09:00:00,2025-08-06 05:00:00,-286.21,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-09-16 01:00:00,2025-09-17 09:00:00,-127.67,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2025-10-28 05:00:00,2025-10-29 17:00:00,7892.59,WIN,osc_micro_w_entry,trending,OOS
H4,NVTK,2025-12-21 05:00:00,2025-12-22 05:00:00,-22831.1,STOPPED,osc_micro_w_entry,ranging,OOS
H4,NVTK,2025-12-26 05:00:00,2025-12-27 13:00:00,14378.98,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2025-12-27 13:00:00,2025-12-28 05:00:00,-3150.2,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-12-28 05:00:00,2025-12-28 09:00:00,1943.53,WIN,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-12-28 09:00:00,2025-12-28 13:00:00,6073.18,WIN,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-12-28 13:00:00,2025-12-29 01:00:00,-4737.48,LOSS,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2025-12-29 01:00:00,2025-12-29 13:00:00,-11874.05,STOPPED,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2026-01-19 17:00:00,2026-01-22 09:00:00,36963.63,WIN,osc_bull_div_mac_break,trending,OOS
H4,NVTK,2026-02-20 05:00:00,2026-02-21 13:00:00,4789.73,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,NVTK,2026-03-19 01:00:00,2026-03-19 09:00:00,-5060.3,LOSS,osc_bull_div_mac_break,volatile,OOS
H4,NVTK,2026-03-19 09:00:00,2026-03-19 13:00:00,1158.27,WIN,osc_bull_div_mac_break,trending,OOS
