tf,ticker,entry,exit,pnl,status,rules,regime,sample
H4,MOEX,2026-04-06 05:00:00,2026-04-07 05:00:00,6178.25,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,NVTK,2023-11-10 13:00:00,2023-11-14 09:00:00,-21591.74,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,NVTK,2025-05-07 09:00:00,2025-05-07 17:00:00,-246.18,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,NVTK,2025-06-13 01:00:00,2025-06-13 05:00:00,-5102.18,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2025-09-16 01:00:00,2025-09-17 09:00:00,-422.05,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2025-12-26 05:00:00,2025-12-27 13:00:00,14610.52,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2026-02-20 05:00:00,2026-02-21 13:00:00,4546.35,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,NVTK,2026-04-03 17:00:00,2026-04-06 05:00:00,1828.67,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2026-05-05 09:00:00,2026-05-06 05:00:00,-1794.94,LOSS,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,PLZL,2023-08-28 05:00:00,2023-08-29 05:00:00,5461.31,WIN,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,PLZL,2023-09-15 09:00:00,2023-09-18 05:00:00,-3113.54,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,PLZL,2023-10-06 09:00:00,2023-10-09 05:00:00,17943.44,WIN,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,PLZL,2024-03-26 05:00:00,2024-03-29 13:00:00,37168.06,WIN,osc_micro_w_entry+osc_stoch_bull_cross,volatile,IS
H4,PLZL,2025-04-08 05:00:00,2025-04-08 17:00:00,-12037.48,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,PLZL,2025-07-14 13:00:00,2025-07-15 13:00:00,20151.48,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,PLZL,2025-07-29 01:00:00,2025-07-29 17:00:00,24014.07,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,PLZL,2025-09-23 09:00:00,2025-09-23 13:00:00,-1209.54,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,PLZL,2025-10-29 05:00:00,2025-10-30 05:00:00,24163.41,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,PLZL,2026-02-03 01:00:00,2026-02-04 05:00:00,15713.61,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,ROSN,2023-09-15 13:00:00,2023-09-18 09:00:00,-244.37,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,ROSN,2023-12-15 13:00:00,2023-12-18 13:00:00,9304.13,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,ROSN,2024-02-01 05:00:00,2024-02-05 13:00:00,18518.14,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,ROSN,2025-02-06 13:00:00,2025-02-07 09:00:00,2880.11,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,ROSN,2025-02-17 05:00:00,2025-02-24 09:00:00,-23457.08,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2025-03-10 09:00:00,2025-03-13 09:00:00,-21860.03,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2025-03-16 05:00:00,2025-03-17 09:00:00,10481.83,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,ROSN,2025-09-17 17:00:00,2025-09-19 05:00:00,-19211.87,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2026-02-20 09:00:00,2026-02-20 13:00:00,-5367.54,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,ROSN,2026-05-18 13:00:00,2026-05-20 05:00:00,-18946.01,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,ROSN,2026-05-30 13:00:00,2026-06-02 05:00:00,523.45,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SBER,2023-09-18 05:00:00,2023-09-18 09:00:00,-7364.55,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,SBER,2023-12-28 13:00:00,2024-01-04 05:00:00,10907.99,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,SBER,2025-04-09 17:00:00,2025-04-10 13:00:00,-11064.12,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,SBER,2025-05-18 05:00:00,2025-05-19 01:00:00,-4072.61,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,SBER,2025-08-01 01:00:00,2025-08-05 05:00:00,-1815.48,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SBER,2025-09-17 13:00:00,2025-09-18 05:00:00,-3771.0,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SBER,2026-03-05 09:00:00,2026-03-06 05:00:00,1939.19,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,SBER,2026-03-09 01:00:00,2026-03-09 13:00:00,-2672.5,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,SNGS,2023-09-15 13:00:00,2023-09-19 09:00:00,-38250.05,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,SNGS,2023-10-30 05:00:00,2023-11-02 13:00:00,-35420.0,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,SNGS,2024-01-25 09:00:00,2024-02-02 05:00:00,39465.66,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,SNGS,2025-02-17 09:00:00,2025-02-26 09:00:00,-25353.16,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,SNGS,2025-03-04 13:00:00,2025-03-06 17:00:00,-23773.73,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SNGS,2025-08-05 09:00:00,2025-08-06 05:00:00,-7373.17,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,SNGS,2026-03-19 05:00:00,2026-03-19 09:00:00,-11770.35,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,TATN,2023-10-19 17:00:00,2023-10-24 05:00:00,-13701.57,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,TATN,2023-12-08 17:00:00,2023-12-11 09:00:00,-8628.32,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,TATN,2024-03-26 09:00:00,2024-04-02 05:00:00,21732.19,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,TATN,2024-04-23 05:00:00,2024-05-06 05:00:00,-15328.72,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,TATN,2025-03-04 05:00:00,2025-03-06 05:00:00,-31588.93,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,volatile,OOS
H4,TATN,2025-06-13 01:00:00,2025-06-15 05:00:00,33872.39,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,TATN,2025-08-04 01:00:00,2025-08-04 09:00:00,-1345.77,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,TATN,2026-04-09 01:00:00,2026-04-10 09:00:00,-29010.34,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,TATN,2026-06-03 09:00:00,2026-06-03 13:00:00,-11546.84,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,TATN,2026-06-19 05:00:00,2026-06-22 09:00:00,-35440.73,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,ALRS,2025-02-10 21:00:00,2025-02-13 21:00:00,43508.58,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
D1,ALRS,2025-03-01 21:00:00,2025-03-23 21:00:00,-55617.47,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,volatile,OOS
D1,CHMF,2023-12-25 21:00:00,2024-01-03 21:00:00,31523.9,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
D1,GAZP,2024-04-01 21:00:00,2024-04-14 21:00:00,-5774.86,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
D1,GAZP,2025-10-15 21:00:00,2025-10-19 21:00:00,11724.99,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
D1,LKOH,2025-10-15 21:00:00,2025-10-19 21:00:00,29822.4,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,MGNT,2025-02-10 21:00:00,2025-02-13 21:00:00,5882.54,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
D1,MOEX,2025-04-21 21:00:00,2025-04-24 21:00:00,5967.0,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
D1,MOEX,2026-01-16 21:00:00,2026-01-23 21:00:00,22502.9,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
D1,MOEX,2026-01-26 21:00:00,2026-01-27 21:00:00,-9059.57,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
D1,NVTK,2023-09-26 21:00:00,2023-10-03 21:00:00,30226.44,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
D1,NVTK,2023-12-04 21:00:00,2023-12-13 21:00:00,-55428.22,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
D1,NVTK,2025-10-14 21:00:00,2025-10-20 21:00:00,26673.98,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,ROSN,2025-10-15 21:00:00,2025-10-21 21:00:00,-52010.55,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,ROSN,2026-06-01 21:00:00,2026-06-08 21:00:00,-63566.82,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,SBER,2025-04-10 21:00:00,2025-04-23 21:00:00,27888.11,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,SBER,2025-11-18 21:00:00,2025-11-24 21:00:00,5619.76,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
D1,SBER,2026-01-15 21:00:00,2026-01-23 21:00:00,15721.9,WIN,osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
D1,TATN,2026-02-27 21:00:00,2026-03-03 21:00:00,88366.01,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,volatile,OOS
D1,TATN,2026-03-08 21:00:00,2026-03-09 21:00:00,-20060.71,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
D1,TATN,2026-03-19 21:00:00,2026-03-30 21:00:00,14341.42,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
D1,TATN,2026-05-11 21:00:00,2026-05-19 21:00:00,30043.5,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,volatile,OOS
